nombre_contacto,correo,sucursales,zona(s),estrellas_prom,opiniones_total,clasificacion_sitio,anio_sitio,maps_url_principal
MEN’S BARBER & ACADEMY - CARAPUNGO; MEN'S BARBER & ACADEMY - REAL AUDIENCIA; MEN’S BARBER & ACADEMY - CUMBAYÁ; MEN’S BARBER & ACADEMY - TUMBACO; MEN’S BARBER & ACADEMY - SHYRIS; MEN’S BARBER & ACADEMY - CARCELÉN; MEN'S BARBER & ACADEMY - SOLANDA; MEN’S BARBER & ACADEMY - VALLE DE LOS CHILLOS,mensuiospa@gmail.com,8,"Carcelén, Quito; Cumbayá, Quito; La Carolina, Quito; La Mariscal, Quito; Quitumbe, Quito; Solanda, Quito; Tumbaco, Quito",4.5,926,sitio_propio,2026,https://www.google.com/maps/place/MEN%E2%80%99S+BARBER+%26+ACADEMY+-+CARAPUNGO/data=!4m7!3m6!1s0x91d58f001270528f:0xd39de1be86acf1df!8m2!3d-0.0980103!4d-78.4511754!16s%2Fg%2F11xcg3r1tr!19sChIJj1JwEgCP1ZER3_Gshr7hndM?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkxNS4wIJJjKgBIAVAD&rclk=1
Barber House Quito - Republica del Salvador; Barber House Cumbaya; Barber House Tumbaco - Plaza Valeta; Barber House Puembo,info@barberhouse.ec,4,"Centro Histórico, Quito; Cumbayá, Quito; Tumbaco, Quito",4.7,722,sitio_propio,,https://www.google.com/maps/place/Barber+House+Quito+-+Republica+del+Salvador/data=!4m7!3m6!1s0x91d59b6d43447f89:0xfefa920c836d2a95!8m2!3d-0.1846798!4d-78.4806303!16s%2Fg%2F11lp742xb7!19sChIJiX9EQ22b1ZERlSptgwyS-v4?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkxNS4wIJJjKgBIAVAD&rclk=1
UrbanosClub Peluquería,reservas@urbanosclub.com,1,"Centro Histórico, Quito",4.9,108,sitio_propio,,https://www.google.com/maps/place/UrbanosClub+Peluquer%C3%ADa/data=!4m7!3m6!1s0x91d59b324dd66d5d:0xd5716edf1d66ef3f!8m2!3d-0.173769!4d-78.4791334!16s%2Fg%2F11h3njy0kl!19sChIJXW3WTTKb1ZERP-9mHd9ucdU?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkxNS4wIJJjKgBIAVAD&rclk=1
Peluquerías Herrera Hermanos,sandrohh1@gmail.com,1,"Centro Histórico, Quito",4.9,7,sitio_propio,,https://www.google.com/maps/place/Peluquer%C3%ADas+Herrera+Hermanos/data=!4m7!3m6!1s0x91d59a728b506efb:0xf319428e417e71e0!8m2!3d-0.1993583!4d-78.4854681!16s%2Fg%2F11gk8_j0p6!19sChIJ-25Qi3Ka1ZER4HF-QY5CGfM?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkxNS4wIJJjKgBIAVAD&rclk=1
Red Lulu Hair Design,david@redluluquito.com,1,"Centro Histórico, Quito",4.7,155,sitio_propio,,https://www.google.com/maps/place/Red+Lulu+Hair+Design/data=!4m7!3m6!1s0x91d59a875c9db001:0x8b8bb2a9c5cea66e!8m2!3d-0.1885204!4d-78.4827067!16s%2Fg%2F11g81dgx72!19sChIJAbCdXIea1ZERbqbOxamyi4s?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkxNS4wIJJjKgBIAVAD&rclk=1
Noah Studio Hair Salon,reservas@noahstudiohairsalon.com,1,"González Suárez, Quito",4.9,62,sitio_propio,,https://www.google.com/maps/place/Noah+Studio+Hair+Salon/data=!4m7!3m6!1s0x91d59bb1e55d38ef:0x40c52a4afb4d51e!8m2!3d-0.2002152!4d-78.4824905!16s%2Fg%2F11tckxchrn!19sChIJ7zhd5bGb1ZERHtW0r6RSDAQ?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkxNS4wIJJjKgBIAVAD&rclk=1
Mr. Mckliff Barber Riders,asistentebrizacumbaya@mimack.ec,1,"Cumbayá, Quito",5.0,21,sitio_propio,,https://www.google.com/maps/place/Mr.+Mckliff+Barber+Riders/data=!4m7!3m6!1s0x91d591fdad4d1945:0x457a12c460d60899!8m2!3d-0.2020044!4d-78.4265541!16s%2Fg%2F11y0hlvqvm!19sChIJRRlNrf2R1ZERmQjWYMQSekU?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkxNS4wIJJjKgBIAVAD&rclk=1
Fitbarbercompany,fitbarbercompany@gmail.com,1,"Tumbaco, Quito",5.0,6,sitio_propio,,https://www.google.com/maps/place/Fitbarbercompany/data=!4m7!3m6!1s0x91d59303dcb00007:0x90c18efe69e569f1!8m2!3d-0.202725!4d-78.3751483!16s%2Fg%2F11kj8b0jlz!19sChIJBwCw3AOT1ZER8Wnlaf6OwZA?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkxNS4wIJJjKgBIAVAD&rclk=1
INNOVACIÓN PELUQUERÍA CUMBAYÁ,scala@zencity.com.ec,1,"Tumbaco, Quito",5.0,8,sitio_propio,,https://www.google.com/maps/place/INNOVACI%C3%93N+PELUQUER%C3%8DA+CUMBAY%C3%81/data=!4m7!3m6!1s0x91d590dd6ca821c5:0xa95482aadcfa176c!8m2!3d-0.202605!4d-78.4393018!16s%2Fg%2F11gv07xl3j!19sChIJxSGobN2Q1ZERbBf63KqCVKk?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkxNS4wIJJjKgBIAVAD&rclk=1
The MOUSTACHE UIO,gabog76@hotmail.com,1,"La Carolina, Quito",3.9,23,sitio_propio,2023,https://www.google.com/maps/place/The+MOUSTACHE+UIO/data=!4m7!3m6!1s0x91d59bd5d9093229:0x5713086f7b0e5233!8m2!3d-0.1766367!4d-78.4871479!16s%2Fg%2F11v147lv1v!19sChIJKTIJ2dWb1ZERM1IOe28IE1c?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkxNS4wIJJjKgBIAVAD&rclk=1
