nombre,correo,telefono,categoria,rubro_archivo,anio_sitio,estrellas,opiniones,pagina_web,zona,direccion,maps_url
Freisacar,comercial@freisacar.com.ec,099 621 9864,Tienda de repuestos para automóviles,repuestos-automotriz-quito,2022,4.5,437,http://www.freisacar.com.ec/,"La Mariscal, Quito","C. de Las Hortencias E9-3, 170138 Quito",https://www.google.com/maps/place/Freisacar/data=!4m7!3m6!1s0x91d59aaa82e57cb5:0x2da4513d2b58059!8m2!3d-0.1483588!4d-78.4750668!16s%2Fg%2F11cr_slczq!19sChIJtXzlgqqa1ZERWYC10hNF2gI?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkxNC4wIJJjKgBIAVAD&rclk=1
Abcar Repuestos Originales S. A.,ventas@abcar.com.ec,(02) 226-7148,Tienda de repuestos para automóviles,repuestos-automotriz-quito,2015,4.3,214,http://www.abcar.com.ec/,"Centro Histórico, Quito","Yasuní y Av. El Inca 369 y, 170138 Quito",https://www.google.com/maps/place/Abcar+Repuestos+Originales+S.+A./data=!4m7!3m6!1s0x91d59aa43e2edb05:0xe3f1304e1bd56414!8m2!3d-0.1588738!4d-78.4822236!16s%2Fg%2F11c6vf997m!19sChIJBdsuPqSa1ZERFGTVG04w8eM?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkxNC4wIJJjKgBIAVAD&rclk=1
FREISACAR SUR,comercial@freisacar.com.ec,099 811 1240,Proveedor de repuestos de carrocería de automóviles,repuestos-automotriz-quito,2022,3.5,11,https://www.freisacar.com.ec/productos/,"González Suárez, Quito","Guanando y Cusubamba S25-296, 162401 Quito",https://www.google.com/maps/place/FREISACAR+SUR/data=!4m7!3m6!1s0x91d599268d7e22bf:0xd4b991dc7d66c272!8m2!3d-0.2704421!4d-78.547857!16s%2Fg%2F11tggrcfny!19sChIJvyJ-jSaZ1ZERcsJmfdyRudQ?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkxNC4wIJJjKgBIAVAD&rclk=1
"CRISTAL AUTOS - Parabrisas, Ventanas, Ventoleras, importadora de llantas WINDA",ventas@cristalautos.com,098 397 8127,Proveedor de repuestos de carrocería de automóviles,repuestos-automotriz-quito,2022,4.3,150,https://cristalautos.com/,"Bellavista, Quito","Entre el Inca, Av. 6 de Diciembre, y y Samuel Fritz, 170502 Quito","https://www.google.com/maps/place/CRISTAL+AUTOS+-+Parabrisas,+Ventanas,+Ventoleras,+importadora+de+llantas+WINDA/data=!4m7!3m6!1s0x91d59bac737ef4e1:0x9244657c14ec337b!8m2!3d-0.1526045!4d-78.4763977!16s%2Fg%2F11q4c1wx6s!19sChIJ4fR-c6yb1ZERezPsFHxlRJI?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkxNC4wIJJjKgBIAVAD&rclk=1"
LaCosta Seafood,reservas@lacostaseafood.com,(02) 292-1524,Restaurante,restaurantes-quito,2022,4.6,667,http://www.lacostaseafood.com/,"La Mariscal, Quito","Núñez de Vela N37-159, 170135 Quito",https://www.google.com/maps/place/LaCosta+Seafood/data=!4m7!3m6!1s0x91d59a9aa07dc1e9:0x4b75e8eaa59728ac!8m2!3d-0.1729001!4d-78.4865223!16s%2Fg%2F11c5zsdlbx!19sChIJ6cF9oJqa1ZERrCiXperodUs?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkxNC4wIJJjKgBIAVAD&rclk=1
Café Mosaico,cafe@cafemosaico.com.ec,(02) 254-2871,Cafetería,restaurantes-quito,2021,4.4,3480,http://www.cafemosaicoecuador.com/,"Centro Histórico, Quito","Manuel Samaniego N8-95, 170136 Quito",https://www.google.com/maps/place/Caf%C3%A9+Mosaico/data=!4m7!3m6!1s0x91d5998af85031d9:0x78c592f4d6423b6c!8m2!3d-0.2206138!4d-78.5033957!16s%2Fg%2F1tn0295l!19sChIJ2TFQ-IqZ1ZERbDtC1vSSxXg?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkxNC4wIJJjKgBIAVAD&rclk=1
Tanoshii Restaurante,swissservice@swissuio.com,(02) 256-7600,Restaurante,restaurantes-quito,1996,4.8,728,https://www.swissotel.com/hotels/quito/dining/tanoshii/,"La Floresta, Quito","Ave 12 de Octubre y Luis Cordero 1820 Y, 170525 Quito",https://www.google.com/maps/place/Tanoshii+Restaurante/data=!4m7!3m6!1s0x91d59a0deba2b24d:0x454038e4c9eef097!8m2!3d-0.2051707!4d-78.4853887!16s%2Fg%2F11ckvdlyyp!19sChIJTbKi6w2a1ZERl_DuyeQ4QEU?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkxNC4wIJJjKgBIAVAD&rclk=1
Swissôtel Quito,ventas@swissuio.com,(02) 256-7600,,restaurantes-quito,2019,4.6,7523,https://all.accor.com/lien_externe.svlt?goto=fiche_hotel&code_hotel=A5C4&merchantid=seo-maps-EC-A5C4&sourceid=aw-cen&utm_medium=seo%20maps&utm_source=google%20Maps&utm_campaign=seo%20maps,"González Suárez, Quito","Ave 12 de Octubre y Luis Cordero 1820 y, 170525 Quito",https://www.google.com/maps/place/Swiss%C3%B4tel+Quito/data=!4m7!3m6!1s0x91d59a0dec20b09f:0x14d611e35be667c0!8m2!3d-0.2052395!4d-78.4854611!16s%2Fg%2F1vlk2msn!19sChIJn7Ag7A2a1ZERwGfmW-MR1hQ?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkxNC4wIJJjKgBIAVAD&rclk=1
Royal India Restaurant,royalindiarestaurant.ec@hotmail.com,095 877 7950,Restaurante familiar,restaurantes-quito,2015,4.9,1303,https://royalindiarestaurante.com/,"Cumbayá, Quito","Francisco de Orellana y El Ceibo 255 y, 170158 Quito",https://www.google.com/maps/place/Royal+India+Restaurant/data=!4m7!3m6!1s0x91d59154b195af5f:0xa0a386d1f9cf73f3!8m2!3d-0.2028993!4d-78.424533!16s%2Fg%2F11gsgfdx6t!19sChIJX6-VsVSR1ZER83PP-dGGo6A?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkxNC4wIJJjKgBIAVAD&rclk=1
Golden Prague Pub- Quito,info@goldenprague.pub,098 267 9192,Restaurante,restaurantes-quito,2020,4.1,600,http://www.goldenprague.pub/,"La Carolina, Quito","RGC9+FG9, Av. de los Shyris, 170102 Quito",https://www.google.com/maps/place/Golden+Prague+Pub-+Quito/data=!4m7!3m6!1s0x91d59be8e94576bf:0x36414a605647c838!8m2!3d-0.1788449!4d-78.4811806!16s%2Fg%2F11sk34tzz_!19sChIJv3ZF6eib1ZEROMhHVmBKQTY?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkxNC4wIJJjKgBIAVAD&rclk=1
