"nombre","telefono","correo","estrellas","opiniones","pagina_web","clasificacion_sitio","anio_sitio","es_lead","categoria","direccion","zona","maps_url"
"Motos LandMotors Quito","099 993 0080","","4.3","234","https://landmotors.ec/","sitio_propio","","false","Concesionario de motos","Av. Mariscal Sucre y Bernardo de Legarda, 170528 Quito","La Mariscal, Quito","https://www.google.com/maps/place/Motos+LandMotors+Quito/data=!4m7!3m6!1s0x8e2a08f1a385808d:0xaafa839d8839c02e!8m2!3d-0.12186!4d-78.5049838!16s%2Fg%2F11f0l23yrf!19sChIJjYCFo_EIKo4RLsA5iJ2D-qo?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkyMC4wIJJjKgBIAVAD&rclk=1"
"Moto Place","(02) 256-9853","","4.8","166","https://www.motoplace.ec/","sitio_propio","2026","false","Concesionario de motos","Centro Comercial Espiral, Jorge Washington y, Av. Río Amazonas y PB local 65, 170526 Quito","La Mariscal, Quito","https://www.google.com/maps/place/Moto+Place/data=!4m7!3m6!1s0x91d59b20aeb0117f:0xdae5281c7a58003e!8m2!3d-0.2064505!4d-78.4959296!16s%2Fg%2F11kktz99n3!19sChIJfxGwriCb1ZERPgBYehwo5do?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkyMC4wIJJjKgBIAVAD&rclk=1"
"OR MOTOS Ecuador","099 822 6625","","3.9","12","http://corporacionormotos.com/","sitio_propio","","false","Concesionario de motos","Carapungo Av. Galo plaza, e y Isidro Ayora, Quito","La Mariscal, Quito","https://www.google.com/maps/place/OR+MOTOS+Ecuador/data=!4m7!3m6!1s0x91d59b43a049a617:0x213f3667b74363f!8m2!3d-0.0922406!4d-78.4518676!16s%2Fg%2F11vbjdht7n!19sChIJF6ZJoEOb1ZERPzZ0e2bzEwI?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkyMC4wIJJjKgBIAVAD&rclk=1"
"GALARDI MOTORS","(02) 222-7788","","4.1","221","http://www.galardimotors.com/","sitio_propio","","false","Concesionario de motos","N24- y, Avenida 6 de Diciembre & Alfredo Baquerizo Moreno, Quito","La Mariscal, Quito","https://www.google.com/maps/place/GALARDI+MOTORS/data=!4m7!3m6!1s0x91d59a12f35f3271:0x72a16bba6c620390!8m2!3d-0.2035523!4d-78.4880375!16s%2Fg%2F11bxd91cyv!19sChIJcTJf8xKa1ZERkANibLproXI?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkyMC4wIJJjKgBIAVAD&rclk=1"
"MOTO LIDER","099 788 2171","","5","576","https://www.facebook.com/profile.php?id=100082916555350&mibextid=LQQJ4d","solo_red_social","","true","Concesionario de motos","Av. de la Prensa y Juan Paz y Miño 49-177 y, 170512 Quito","La Mariscal, Quito","https://www.google.com/maps/place/MOTO+LIDER/data=!4m7!3m6!1s0x91d59bb5f6fa5ef5:0xdc3ec33210516c7a!8m2!3d-0.1480715!4d-78.4909566!16s%2Fg%2F11ts9k94vj!19sChIJ9V769rWb1ZERemxREDLDPtw?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkyMC4wIJJjKgBIAVAD&rclk=1"
"Samadi Motos Quito Sur","098 920 6000","","4.9","154","","ninguno","","true","Concesionario de motos","Av. Mariscal Sucre y Toacazo &, 170148 Quito","La Mariscal, Quito","https://www.google.com/maps/place/Samadi+Motos+Quito+Sur/data=!4m7!3m6!1s0x91d5990040b9de33:0xedd534f34da71e69!8m2!3d-0.2606413!4d-78.5458716!16s%2Fg%2F11y3xtnf_j!19sChIJM965QACZ1ZERaR6nTfM01e0?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkyMC4wIJJjKgBIAVAD&rclk=1"
"Samadi Motos Quito","098 920 6000","ejemplo@ejemplo.com","3.7","402","https://www.samadimotos.com/","sitio_propio","","false","Concesionario de motos","Av. de la Prensa 46-51 y, 170104 Quito","La Mariscal, Quito","https://www.google.com/maps/place/Samadi+Motos+Quito/data=!4m7!3m6!1s0x91d59ab0799cf8af:0x6e07d55126e147c0!8m2!3d-0.1555055!4d-78.4888359!16s%2Fg%2F11c20qgcdl!19sChIJr_icebCa1ZERwEfhJlHVB24?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkyMC4wIJJjKgBIAVAD&rclk=1"
"Motos a crédito","099 500 3839","","4.3","97","","ninguno","","true","Concesionario de motos","Av. de los Shyris, 170135 Quito","La Mariscal, Quito","https://www.google.com/maps/place/Motos+a+cr%C3%A9dito/data=!4m7!3m6!1s0x91d59a8359370d05:0x81d3515a67bca96e!8m2!3d-0.1717435!4d-78.4798432!16s%2Fg%2F11clt7xk8c!19sChIJBQ03WYOa1ZERbqm8Z1pR04E?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkyMC4wIJJjKgBIAVAD&rclk=1"
"Custom Garage","098 038 5880","","5","7","","ninguno","","true","Tienda de motocicletas","N73B, 170133 Quito","La Mariscal, Quito","https://www.google.com/maps/place/Custom+Garage/data=!4m7!3m6!1s0x91d58fd8e6e0e4ef:0x63b5c3c1a6a296a2!8m2!3d-0.1033307!4d-78.4582283!16s%2Fg%2F11n73vv0q3!19sChIJ7-Tg5tiP1ZERopaipsHDtWM?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkyMC4wIJJjKgBIAVAD&rclk=1"
"Moto Eléctrica Motoflash","098 251 8189","","3.2","18","https://wa.me/593982518189","solo_red_social","","true","Concesionario de motos","Av. Capitán Geovanni Calles, 170202 Quito","La Mariscal, Quito","https://www.google.com/maps/place/Moto+El%C3%A9ctrica+Motoflash/data=!4m7!3m6!1s0x91d59b2a07dd321f:0x34921e28610a4214!8m2!3d-0.0929096!4d-78.4345663!16s%2Fg%2F11j6_xdhh5!19sChIJHzLdByqb1ZERFEIKYSgekjQ?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkyMC4wIJJjKgBIAVAD&rclk=1"
