"nombre","telefono","correo","estrellas","opiniones","pagina_web","clasificacion_sitio","anio_sitio","es_lead","categoria","direccion","zona","maps_url"
"Disauto","099 391 3670","importadoradisauto@gmail.com","4.3","141","http://www.disauto.ec/","sitio_propio","2026","false","Tienda de repuestos para automóviles","Disauto Centro Automotriz, 170208 Quito","La Mariscal, Quito","https://www.google.com/maps/place/Disauto/data=!4m7!3m6!1s0x91d58f0629b18175:0x7a66776b5b57ad79!8m2!3d-0.1070065!4d-78.4412572!16s%2Fg%2F1pv6ymrb4!19sChIJdYGxKQaP1ZERea1XW2t3Zno?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkxNC4wIJJjKgBIAVAD&rclk=1"
"CeDav Importadora Automotriz","097 898 7079","","5","12","","ninguno","","true","Tienda de repuestos para automóviles","170133, Avenida Francisco de la Torre y Jose Encalada, 170133 Quito","La Mariscal, Quito","https://www.google.com/maps/place/CeDav+Importadora+Automotriz/data=!4m7!3m6!1s0x91d58fb5c611d7b7:0xc7410e4aa433245a!8m2!3d-0.1179854!4d-78.4684814!16s%2Fg%2F11kqhjtshq!19sChIJt9cRxrWP1ZERWiQzpEoOQcc?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkxNC4wIJJjKgBIAVAD&rclk=1"
"Distribuidora Automotriz Bolaños ""Calderon""","(02) 282-1505","","4.3","13","","ninguno","","true","Tienda de repuestos para automóviles","Panamericana Nte., 170203 Quito","La Mariscal, Quito","https://www.google.com/maps/place/Distribuidora+Automotriz+Bola%C3%B1os+%22Calderon%22/data=!4m7!3m6!1s0x91d58f0a55b56fb9:0x1c1948111f9e630f!8m2!3d-0.1076902!4d-78.4493024!16s%2Fg%2F11gh01lrj6!19sChIJuW-1VQqP1ZERD2OeHxFIGRw?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkxNC4wIJJjKgBIAVAD&rclk=1"
"Mansuera Carapungo","(02) 242-8488","","4.1","141","https://www.mansuera.com/","sitio_propio","","false","Tienda de repuestos para automóviles","Panamericana Norte KM 11, OE 11-174 y, Alfonso Moncayo, 170203 Quito","La Mariscal, Quito","https://www.google.com/maps/place/Mansuera+Carapungo/data=!4m7!3m6!1s0x91d58ffc41829d4f:0x537a5ab7ee6cadc9!8m2!3d-0.1081398!4d-78.4521116!16s%2Fg%2F11j2fnvykg!19sChIJT52CQfyP1ZERya1s7rdaelM?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkxNC4wIJJjKgBIAVAD&rclk=1"
"MEXID REPUESTOS ELÉCTRICOS","096 288 5178","","4.9","14","https://es-la.facebook.com/Repuestosmexid/","solo_red_social","","true","Tienda de repuestos para automóviles","Carihuairazo Oe11-156, 170204 Quito","La Mariscal, Quito","https://www.google.com/maps/place/MEXID+REPUESTOS+EL%C3%89CTRICOS/data=!4m7!3m6!1s0x91d58f14966b7239:0x6088101fc3aa2030!8m2!3d-0.095298!4d-78.4509498!16s%2Fg%2F11gslhbn67!19sChIJOXJrlhSP1ZERMCCqwx8QiGA?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkxNC4wIJJjKgBIAVAD&rclk=1"
"Ls Taller Automotriz","","","4.7","52","","ninguno","","true","Taller de reparación de automóviles","Galo Pl. Lasso N15-216, 170204 Quito","La Mariscal, Quito","https://www.google.com/maps/place/Ls+Taller+Automotriz/data=!4m7!3m6!1s0x91d58f6baa9c422b:0xb39e4cbbac3613b0!8m2!3d-0.0938648!4d-78.4553132!16s%2Fg%2F11gsllk7_c!19sChIJK0KcqmuP1ZERsBM2rLtMnrM?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkxNC4wIJJjKgBIAVAD&rclk=1"
"MULTIREPUESTOS MONTALVO","096 785 7945","","4.3","9","","ninguno","","true","Tienda de repuestos para automóviles","Panamericana Nte. y El Arenal, 170204 Quito","La Mariscal, Quito","https://www.google.com/maps/place/MULTIREPUESTOS+MONTALVO/data=!4m7!3m6!1s0x91d58fbbfdb96011:0x7acb9492f9c1103!8m2!3d-0.1075278!4d-78.4487623!16s%2Fg%2F11g1lyjmn3!19sChIJEWC5_buP1ZERAxGcL0m5rAc?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkxNC4wIJJjKgBIAVAD&rclk=1"
"El Repuestero Automotriz","098 703 1593","","4.9","14","","ninguno","","true","Tienda de repuestos para automóviles","Carlos Mantilla y C. Miami OE7-222 y, 170204 Quito","La Mariscal, Quito","https://www.google.com/maps/place/El+Repuestero+Automotriz/data=!4m7!3m6!1s0x91d58f51c03c8e81:0x14959ddb0cbe177b!8m2!3d-0.0950718!4d-78.4437558!16s%2Fg%2F11fjzbwmkt!19sChIJgY48wFGP1ZERexe-DNudlRQ?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkxNC4wIJJjKgBIAVAD&rclk=1"
"Repuestos Automotrices Guaranda Figueroa - Carapungo","(02) 201-0126","repuestosautomotricesjc@gmail.com","4.2","71","http://www.repuestosautomotrices.com/","sitio_propio","2026","false","Proveedor de repuestos de carrocería de automóviles","Capitán Giovanni Calles, 170203 Quito","La Mariscal, Quito","https://www.google.com/maps/place/Repuestos+Automotrices+Guaranda+Figueroa+-+Carapungo/data=!4m7!3m6!1s0x91d58f0d1f69c21f:0xab2715386e2eaf5!8m2!3d-0.1029771!4d-78.4513085!16s%2Fg%2F11dxlcy9s3!19sChIJH8JpHw2P1ZER9erihlNxsgo?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkxNC4wIJJjKgBIAVAD&rclk=1"
"Repuestos Automotrices JV","098 776 2583","info@latinotype.com; team@latofonts.com; filler@godaddy.com","4.6","11","http://repuestosautomotricesjv.godaddysites.com/","sitio_propio","2025","false","Tienda de repuestos para automóviles","Avenida Francisco de la Torre 1741, Quito","La Mariscal, Quito","https://www.google.com/maps/place/Repuestos+Automotrices+JV/data=!4m7!3m6!1s0x91d58faadd29c38d:0xb8e2588fd04be8da!8m2!3d-0.1207687!4d-78.4699758!16s%2Fg%2F11lh34sjr6!19sChIJjcMp3aqP1ZER2uhL0I9Y4rg?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkxNC4wIJJjKgBIAVAD&rclk=1"
"Importadora Dávila Respuestos Automotrices al Por Mayor","096 411 0764","","5","44","http://www.importadoradavila.com/","sitio_propio","","false","Importador","Av. Domingo Rengifo y Antonio Basantes 74-21 y, 170310 Quito","La Mariscal, Quito","https://www.google.com/maps/place/Importadora+D%C3%A1vila+Respuestos+Automotrices+al+Por+Mayor/data=!4m7!3m6!1s0x91d585062383a03f:0xfefb627b2477fb7c!8m2!3d-0.0998001!4d-78.4770201!16s%2Fg%2F11ng1w0sqp!19sChIJP6CDIwaF1ZERfPt3JHti-_4?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkxNC4wIJJjKgBIAVAD&rclk=1"
"Hivimar","(02) 373-1900","","4.7","10","http://www.hivimar.com/","sitio_propio","","true","Tienda de repuestos para automóviles","Joaquín Mancheno, y y Manuel Najas, 170303 Quito","La Mariscal, Quito","https://www.google.com/maps/place/Hivimar/data=!4m7!3m6!1s0x91d5850b5aea89cb:0x115f3ff2c8f85abe!8m2!3d-0.0965988!4d-78.4762934!16s%2Fg%2F11n0pq2d4v!19sChIJy4nqWguF1ZERvlr4yPI_XxE?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkxNC4wIJJjKgBIAVAD&rclk=1"
"CHEVYAUTO PARTS CARAPUNGO","099 779 7233","","4.5","10","","ninguno","","true","Tienda de repuestos para automóviles","Panamericana Nte. y El Arenal 41 Y, 170208 Quito","La Mariscal, Quito","https://www.google.com/maps/place/CHEVYAUTO+PARTS+CARAPUNGO/data=!4m7!3m6!1s0x91d58f4bd5d034e7:0xd6f4c2c74da0ff5f!8m2!3d-0.1076139!4d-78.4485832!16s%2Fg%2F11jhx77j2g!19sChIJ5zTQ1UuP1ZERX_-gTcfC9NY?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkxNC4wIJJjKgBIAVAD&rclk=1"
