"nombre","telefono","correo","estrellas","opiniones","pagina_web","clasificacion_sitio","anio_sitio","es_lead","categoria","direccion","zona","maps_url"
"Miskay","098 794 6373","miskayrest@hotmail.com","4.6","1082","https://miskay.ec/en/","sitio_propio","","false","Restaurante ecuatoriano","Joaquín Pinto E6-43, 170524 Quito","La Mariscal, Quito","https://www.google.com/maps/place/Miskay/data=!4m7!3m6!1s0x91d59a136f67b1c5:0x841bb6a04c974ebd!8m2!3d-0.2030392!4d-78.4915043!16s%2Fg%2F11c706r_c0!19sChIJxbFnbxOa1ZERvU6XTKC2G4Q?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkxNC4wIJJjKgBIAVAD&rclk=1"
"Tripas de la Mariscal comida tipica Ecuatoriana","099 208 0756","","4.5","129","","ninguno","","true","Restaurante","Prensa y, Juan Galarza, 170148 Quito","La Mariscal, Quito","https://www.google.com/maps/place/Tripas+de+la+Mariscal+comida+tipica+Ecuatoriana/data=!4m7!3m6!1s0x91d599f93862e44f:0x3bf8ec77bdb9d544!8m2!3d-0.1617296!4d-78.4876369!16s%2Fg%2F11r_l4wpd4!19sChIJT-RiOPmZ1ZERRNW5vXfs-Ds?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkxNC4wIJJjKgBIAVAD&rclk=1"
"RINCON PAISA - PARRILLADAS","","","4.9","19","","ninguno","","true","Restaurante de carnes asadas","Quito Carlos Mantilla, y y Av. Simón Bolívar, 170206 Quito","La Mariscal, Quito","https://www.google.com/maps/place/RINCON+PAISA+-+PARRILLADAS/data=!4m7!3m6!1s0x91d58faaf0203b91:0x59026ca072ff47c5!8m2!3d-0.0759578!4d-78.4350318!16s%2Fg%2F11kb_bsbs1!19sChIJkTsg8KqP1ZERxUf_cqBsAlk?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkxNC4wIJJjKgBIAVAD&rclk=1"
"La Mariscal","099 286 6551","","4.3","41","","ninguno","","true","Restaurante ecuatoriano","QGV5+9CH, Av. Gral. Ignacio de Veintimilla, 170143 Quito","La Mariscal, Quito","https://www.google.com/maps/place/La+Mariscal/data=!4m7!3m6!1s0x91d59a1474b274a3:0x2e900934d907ae76!8m2!3d-0.2065706!4d-78.4913973!16s%2Fg%2F11g4dh9l79!19sChIJo3SydBSa1ZERdq4H2TQJkC4?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkxNC4wIJJjKgBIAVAD&rclk=1"
"Achiote Ecuador - Cuisine","099 338 8489","reservaciones@achiote.com.ec; contact@mysite.com","4.7","751","http://achiote.com.ec/","sitio_propio","2026","false","Restaurante ecuatoriano","Juan Rodríguez 282, 170524 Quito","La Mariscal, Quito","https://www.google.com/maps/place/Achiote+Ecuador+-+Cuisine/data=!4m7!3m6!1s0x91d59a1328648779:0x5a200f747566c4c4!8m2!3d-0.2021066!4d-78.4895434!16s%2Fg%2F11bwc4661k!19sChIJeYdkKBOa1ZERxMRmdXQPIFo?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkxNC4wIJJjKgBIAVAD&rclk=1"
"Fairuz Restaurante UIO","(02) 222-0800","","4.8","4485","https://www.fairuzrestauranteuio.com/","sitio_propio","","false","Restaurante árabe","Av. 6 de Diciembre, 170143 Quito","La Mariscal, Quito","https://www.google.com/maps/place/Fairuz+Restaurante+UIO/data=!4m7!3m6!1s0x91d59a13f2fff6c3:0x922b59a778f94d9c!8m2!3d-0.2051631!4d-78.4917063!16s%2Fg%2F11bwkl04p8!19sChIJw_b_8hOa1ZERnE35eKdZK5I?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkxNC4wIJJjKgBIAVAD&rclk=1"
"Leku Quito","099 716 1998","info@lekuquito.com","4.9","45","http://www.lekuquito.com/","sitio_propio","","false","Restaurante","Pasaje N24J, e y Av. Isabel la Católica, 170525 Quito","La Mariscal, Quito","https://www.google.com/maps/place/Leku+Quito/data=!4m7!3m6!1s0x91d59b00752571b9:0x34ca26d43fdd2b11!8m2!3d-0.2051963!4d-78.4827768!16s%2Fg%2F11yqnls0fj!19sChIJuXEldQCb1ZERESvdP9QmyjQ?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkxNC4wIJJjKgBIAVAD&rclk=1"
"Manducare Grill Restaurante","099 600 5522","","4.8","105","https://manducaregrill.com/","sitio_propio","2026","false","Restaurante","Frente al KFC, FYBECA, Pintulac, Av Diego Vásquez de Cepeda N77-670, 170310 Quito","La Mariscal, Quito","https://www.google.com/maps/place/Manducare+Grill+Restaurante/data=!4m7!3m6!1s0x91d58f9c91f338f7:0xe58053c98d4f58e!8m2!3d-0.0916873!4d-78.4730041!16s%2Fg%2F11t6l0mmx9!19sChIJ9zjzkZyP1ZERjvXUmDwFWA4?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkxNC4wIJJjKgBIAVAD&rclk=1"
"Marcando El Camino","(02) 452-6330","info@marcandoelcamino.ec; reservas@marcandoelcamino.ec","4.7","1228","https://marcandoelcamino.ec/","sitio_propio","2024","false","Restaurante ecuatoriano","José Tamayo 23-75, 170523 Quito","La Mariscal, Quito","https://www.google.com/maps/place/Marcando+El+Camino/data=!4m7!3m6!1s0x91d59b2cab91c47d:0x8ee8028557325097!8m2!3d-0.2066529!4d-78.4901934!16s%2Fg%2F11gxtb7t6z!19sChIJfcSRqyyb1ZERl1AyV4UC6I4?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkxNC4wIJJjKgBIAVAD&rclk=1"
"Beef Sport Grill Bar","099 565 1968","","3.7","28","","ninguno","","true","Restaurante americano","Carlos Mantilla y, C. Diego Midero y Mideros, 170206 Quito","La Mariscal, Quito","https://www.google.com/maps/place/Beef+Sport+Grill+Bar/data=!4m7!3m6!1s0x91d58fc48d997275:0x5a619992cea5e18c!8m2!3d-0.0689818!4d-78.4334255!16s%2Fg%2F11lkhkfrzv!19sChIJdXKZjcSP1ZERjOGlzpKZYVo?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkxNC4wIJJjKgBIAVAD&rclk=1"
