"nombre","telefono","correo","estrellas","opiniones","pagina_web","clasificacion_sitio","anio_sitio","es_lead","categoria","direccion","zona","maps_url"
"Ls Taller Automotriz","","","4.7","52","","ninguno","","true","Taller de reparación de automóviles","Galo Pl. Lasso N15-216, 170204 Quito","La Mariscal, Quito","https://www.google.com/maps/place/Ls+Taller+Automotriz/data=!4m7!3m6!1s0x91d58f6baa9c422b:0xb39e4cbbac3613b0!8m2!3d-0.0938648!4d-78.4553132!16s%2Fg%2F11gsllk7_c!19sChIJK0KcqmuP1ZERsBM2rLtMnrM?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkxNC4wIJJjKgBIAVAD&rclk=1"
"Servicio Automotriz Salazar S.A.S.","096 906 1497","","4.9","14","","ninguno","","true","Taller de automóviles","Antonio Galindo y Teresa Iza 98 y, 170133 Quito","La Mariscal, Quito","https://www.google.com/maps/place/Servicio+Automotriz+Salazar+S.A.S./data=!4m7!3m6!1s0xa4af3df154695e05:0xaae6472349d4e4b9!8m2!3d-0.1128746!4d-78.4621289!16s%2Fg%2F11sf3_6b4y!19sChIJBV5pVPE9r6QRueTUSSNH5qo?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkxNC4wIJJjKgBIAVAD&rclk=1"
"Taller y Lavadora Automotriz JR Diaz","099 987 5493","","4.6","31","","ninguno","","true","Taller de reparación de automóviles","WG5V+6QQ, 170203 Quito","La Mariscal, Quito","https://www.google.com/maps/place/Taller+y+Lavadora+Automotriz+JR+Diaz/data=!4m7!3m6!1s0x91d58f192b665d25:0xc28a7dd74b0dddbc!8m2!3d-0.0919174!4d-78.4555273!16s%2Fg%2F11g10cwqc2!19sChIJJV1mKxmP1ZERvN0NS9d9isI?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkxNC4wIJJjKgBIAVAD&rclk=1"
"Mecanico automotriz DR","098 927 7197","","4.4","7","","ninguno","","true","Taller mecánico","Av. Eloy Alfaro 74-300, 170120 Quito","La Mariscal, Quito","https://www.google.com/maps/place/Mecanico+automotriz+DR/data=!4m7!3m6!1s0x91d58f76b7c75b45:0x96ebaaa4926ef8e6!8m2!3d-0.1018176!4d-78.4687863!16s%2Fg%2F11fkcz08d5!19sChIJRVvHt3aP1ZER5vhukqSq65Y?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkxNC4wIJJjKgBIAVAD&rclk=1"
"CEMAUTO Centro de Mantenimiento Automotriz","0856795","","4.6","10","","ninguno","","true","Taller de reparación de automóviles","Antonio José de Sucre y, Miguel Carrión y Av. Mariscal Sucre OE6-379 y, Quito","La Mariscal, Quito","https://www.google.com/maps/place/CEMAUTO+Centro+de+Mantenimiento+Automotriz/data=!4m7!3m6!1s0x91d585a1272370fd:0x3a95959c17407880!8m2!3d-0.107326!4d-78.502519!16s%2Fg%2F11f3mb0bgw!19sChIJ_XAjJ6GF1ZERgHhAF5yVlTo?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkxNC4wIJJjKgBIAVAD&rclk=1"
"Centro Automotriz Motors Cars, Mecánica Automotriz, Lubricadora y Lavadora, Auxilio Mecánico","(02) 351-8924","","4.9","9","https://profesionales.gdc.coop/ads/centro-automotriz-motors-cars","sitio_propio","","false","Taller mecánico","Asturias Lote 2 y Alcala Pasaje A, 170204","La Mariscal, Quito","https://www.google.com/maps/place/Centro+Automotriz+Motors+Cars,+Mec%C3%A1nica+Automotriz,+Lubricadora+y+Lavadora,+Auxilio+Mec%C3%A1nico/data=!4m7!3m6!1s0x91d58f1babfb2b09:0xee5e1dd943d94e9e!8m2!3d-0.0891086!4d-78.4451946!16s%2Fg%2F11h_6qx9qn!19sChIJCSv7qxuP1ZERnk7ZQ9kdXu4?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkxNC4wIJJjKgBIAVAD&rclk=1"
"Servicio automotriz lita motors","099 855 9899","","5","6","","ninguno","","true","Taller mecánico","Amalia uriguen, y y Francisco de Albornoz, 170201 Quito","La Mariscal, Quito","https://www.google.com/maps/place/Servicio+automotriz+lita+motors/data=!4m7!3m6!1s0x91d58fedca4a1f4f:0x30632aa4929b8c55!8m2!3d-0.0804231!4d-78.4182578!16s%2Fg%2F11z6nn9vfx!19sChIJTx9Kyu2P1ZERVYybkqQqYzA?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkxNC4wIJJjKgBIAVAD&rclk=1"
"AGUILAR SERVICIO AUTOMOTRIZ","098 331 0007","","4.6","10","","ninguno","","true","Taller de reparación de automóviles","San José de Moran y De las Violetas 142, 170204 Quito","La Mariscal, Quito","https://www.google.com/maps/place/AGUILAR+SERVICIO+AUTOMOTRIZ/data=!4m7!3m6!1s0x91d58fa5a3ba3bf9:0x8c7b938391f58d34!8m2!3d-0.0799161!4d-78.4442695!16s%2Fg%2F11y2h197bm!19sChIJ-Tu6o6WP1ZERNI31kYOTe4w?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkxNC4wIJJjKgBIAVAD&rclk=1"
"Taller Automotriz Multimarca GM MERAKI","099 928 9710","","4.6","13","","ninguno","","true","Taller mecánico","De las Viñas y Cesar Teran Lopez &, 170124 Quito","La Mariscal, Quito","https://www.google.com/maps/place/Taller+Automotriz+Multimarca+GM+MERAKI/data=!4m7!3m6!1s0x91d58fe90a4441bb:0x4649ad8e26c35b84!8m2!3d-0.1345444!4d-78.4642231!16s%2Fg%2F11kj26vm6_!19sChIJu0FECumP1ZERhFvDJo6tSUY?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkxNC4wIJJjKgBIAVAD&rclk=1"
"Taller automotriz ROD DAN","098 229 3988","","5","20","","ninguno","","true","Taller mecánico","Rio quijos, y y Río Mindo, Quito","La Mariscal, Quito","https://www.google.com/maps/place/Taller+automotriz+ROD+DAN/data=!4m7!3m6!1s0x91d58fbac76c6163:0x8d38b1f478c36bab!8m2!3d-0.0984362!4d-78.4537582!16s%2Fg%2F11fgjsw5sj!19sChIJY2Fsx7qP1ZERq2vDePSxOI0?authuser=0&hl=es-419&g_ep=EgoyMDI2MDkxNC4wIJJjKgBIAVAD&rclk=1"
